experiment,pioreactor_unit,timestamp,message,source,level,task,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-18T23:21:55.864Z,Init.,app,DEBUG,stirring,2025-09-19 01:21:55.864,0.045277777778
Long Yeast Grow,pioreactor02,2025-09-18T23:21:55.887Z,Operating with RPM feedback loop.,app,DEBUG,stirring,2025-09-19 01:21:55.887,0.045277777778
Long Yeast Grow,pioreactor02,2025-09-18T23:21:55.890Z,"Initialized GPIO-17 using software-timing, initial frequency = 200.0 hz.",app,DEBUG,stirring,2025-09-19 01:21:55.890,0.045277777778
Long Yeast Grow,pioreactor02,2025-09-18T23:21:55.943Z,Found stirring calibration: stirring-calibration-2025-09-18_19-24-38.,app,DEBUG,stirring,2025-09-19 01:21:55.943,0.045277777778
Long Yeast Grow,pioreactor02,2025-09-18T23:21:56.349Z,Starting initialize_continuous_operation,app,DEBUG,stirring,2025-09-19 01:21:56.349,0.045555555556
Long Yeast Grow,pioreactor02,2025-09-18T23:21:56.859Z,Finished initialize_continuous_operation,app,DEBUG,stirring,2025-09-19 01:21:56.859,0.045555555556
Long Yeast Grow,pioreactor02,2025-09-18T23:21:56.863Z,Ready.,app,INFO,stirring,2025-09-19 01:21:56.863,0.045555555556
Long Yeast Grow,pioreactor02,2025-09-18T23:21:56.864Z,stirring is blocking until RPM is near 500.0.,app,DEBUG,stirring,2025-09-19 01:21:56.864,0.045555555556
Long Yeast Grow,pioreactor02,2025-09-18T23:22:02.741Z,Cleaned up GPIO-17.,app,DEBUG,stirring,2025-09-19 01:22:02.741,0.047222222222
Long Yeast Grow,pioreactor02,2025-09-18T23:22:02.845Z,Disconnected.,app,INFO,stirring,2025-09-19 01:22:02.845,0.047222222222
Long Yeast Grow,pioreactor02,2025-09-18T23:22:02.846Z,Updated state from ready to disconnected.,app,INFO,stirring,2025-09-19 01:22:02.846,0.047222222222
Long Yeast Grow,pioreactor02,2025-09-18T23:22:03.781Z,stirring is blocking until disconnected.,app,DEBUG,stirring,2025-09-19 01:22:03.781,0.0475
Long Yeast Grow,pioreactor02,2025-09-18T23:22:03.893Z,Disconnected successfully from MQTT.,app,DEBUG,stirring,2025-09-19 01:22:03.893,0.0475
Long Yeast Grow,pioreactor02,2025-09-19T01:35:55.453Z,Init.,app,DEBUG,stirring,2025-09-19 03:35:55.453,2.278611111111
Long Yeast Grow,pioreactor02,2025-09-19T01:35:55.477Z,Operating with RPM feedback loop.,app,DEBUG,stirring,2025-09-19 03:35:55.477,2.278611111111
Long Yeast Grow,pioreactor02,2025-09-19T01:35:55.480Z,"Initialized GPIO-17 using software-timing, initial frequency = 200.0 hz.",app,DEBUG,stirring,2025-09-19 03:35:55.480,2.278611111111
Long Yeast Grow,pioreactor02,2025-09-19T01:35:55.531Z,Found stirring calibration: stirring-calibration-2025-09-18_19-24-38.,app,DEBUG,stirring,2025-09-19 03:35:55.531,2.278611111111
Long Yeast Grow,pioreactor02,2025-09-19T01:35:55.670Z,Starting initialize_continuous_operation,app,DEBUG,stirring,2025-09-19 03:35:55.670,2.278611111111
Long Yeast Grow,pioreactor02,2025-09-19T01:35:56.180Z,Finished initialize_continuous_operation,app,DEBUG,stirring,2025-09-19 03:35:56.180,2.278888888889
Long Yeast Grow,pioreactor02,2025-09-19T01:35:56.184Z,Ready.,app,INFO,stirring,2025-09-19 03:35:56.184,2.278888888889
Long Yeast Grow,pioreactor02,2025-09-19T01:35:56.185Z,stirring is blocking until RPM is near 500.0.,app,DEBUG,stirring,2025-09-19 03:35:56.185,2.278888888889
Long Yeast Grow,pioreactor02,2025-09-19T01:36:01.778Z,"No calibration available for OD, skipping.",app,DEBUG,calibration_transformer,2025-09-19 03:36:01.778,2.280277777778
Long Yeast Grow,pioreactor02,2025-09-19T01:36:01.830Z,Init.,app,DEBUG,od_reading,2025-09-19 03:36:01.830,2.280277777778
Long Yeast Grow,pioreactor02,2025-09-19T01:36:02.276Z,"ADC offsets: {'2': 2489.1500008581816, '1': 2486.900000378182}, and in voltage: {'2': 0.0626846383, '1': 0.0626279762}",app,DEBUG,od_reading,2025-09-19 03:36:02.276,2.280555555556
Long Yeast Grow,pioreactor02,2025-09-19T01:36:02.697Z,AC hz estimate: 50.0,app,DEBUG,od_reading,2025-09-19 03:36:02.697,2.280555555556
Long Yeast Grow,pioreactor02,2025-09-19T01:36:02.698Z,Using ADC class Pico_ADC for pd2 with initial gain 1.0.,app,DEBUG,od_reading,2025-09-19 03:36:02.698,2.280555555556
Long Yeast Grow,pioreactor02,2025-09-19T01:36:02.700Z,Using ADC class Pico_ADC for pd1 with initial gain 1.0.,app,DEBUG,od_reading,2025-09-19 03:36:02.700,2.280555555556
Long Yeast Grow,pioreactor02,2025-09-19T01:36:02.730Z,"Starting od_reading with PD channels {'2': '90'}, with IR LED intensity 65.99% from channel A, every 5.0 seconds",app,DEBUG,od_reading,2025-09-19 03:36:02.730,2.280555555556
Long Yeast Grow,pioreactor02,2025-09-19T01:36:02.735Z,Ready.,app,INFO,od_reading,2025-09-19 03:36:02.735,2.280555555556
Long Yeast Grow,pioreactor02,2025-09-19T01:36:02.736Z,od_reading is blocking until disconnected.,app,DEBUG,od_reading,2025-09-19 03:36:02.736,2.280555555556
