experiment,pioreactor_unit,timestamp,avg_od_reading,avg_normalized_od_reading,avg_temperature_c,avg_growth_rate,avg_measured_rpm,sum_add_media_ml,sum_remove_waste_ml,sum_add_alt_media_ml,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-18 23:22:00,,,,,748.4,,,,2025-09-19 01:22:00.000,0.046666666667
Long Yeast Grow,pioreactor02,2025-09-18 23:22:00,,,,,687.3,,,,2025-09-19 01:22:00.000,0.046666666667
Long Yeast Grow,pioreactor02,2025-09-18 23:22:00,,,,,628.7,,,,2025-09-19 01:22:00.000,0.046666666667
Long Yeast Grow,pioreactor02,2025-09-19 01:35:00,,,,,590.5,,,,2025-09-19 03:35:00.000,2.263333333333
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,,,,,580.3,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,,,,,576.4,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,0.012626961454,,,,,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,,,,,562.6,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,,,,,551.2,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,,,,,543.9,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,0.012487638353,,,,,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,,,,,528.8,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,,,,,521.0,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,0.012287099598,,,,,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,,,,,512.9,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,0.012369833631,,,,,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,0.012111310722,,,,,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,,,,,506.1,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,,,19.875,,,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,0.012728095509,,,,,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,0.012830566972,,,,,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,0.012838723349,,,,,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,0.012903155263,,,,,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,0.01288243742,,,,,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,,,,,511.6,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,0.012913847096,,,,,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:36:00,0.012591516694,,,,,,,,2025-09-19 03:36:00.000,2.28
Long Yeast Grow,pioreactor02,2025-09-19 01:37:00,0.012585854744,,,,,,,,2025-09-19 03:37:00.000,2.296666666667
Long Yeast Grow,pioreactor02,2025-09-19 01:37:00,0.012765200238,,,,,,,,2025-09-19 03:37:00.000,2.296666666667
Long Yeast Grow,pioreactor02,2025-09-19 01:37:00,,,,,421.0,,,,2025-09-19 03:37:00.000,2.296666666667
Long Yeast Grow,pioreactor02,2025-09-19 01:37:00,0.012974711502,,,,,,,,2025-09-19 03:37:00.000,2.296666666667
Long Yeast Grow,pioreactor02,2025-09-19 01:37:00,0.01238747114,,,,,,,,2025-09-19 03:37:00.000,2.296666666667
Long Yeast Grow,pioreactor02,2025-09-19 01:37:00,0.012397699237,,,,,,,,2025-09-19 03:37:00.000,2.296666666667
Long Yeast Grow,pioreactor02,2025-09-19 01:37:00,0.012901394341,,,,,,,,2025-09-19 03:37:00.000,2.296666666667
Long Yeast Grow,pioreactor02,2025-09-19 01:37:00,0.012725290251,,,,,,,,2025-09-19 03:37:00.000,2.296666666667
Long Yeast Grow,pioreactor02,2025-09-19 01:37:00,,,,,431.0,,,,2025-09-19 03:37:00.000,2.296666666667
Long Yeast Grow,pioreactor02,2025-09-19 01:37:00,0.012950092513,,,,,,,,2025-09-19 03:37:00.000,2.296666666667
