experiment,pioreactor_unit,timestamp,channel_1,channel_2,channel_3,channel_4,channel_5,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-18T23:21:55.912Z,0.0,0.0,0.0,0.0,0.0,2025-09-19 01:21:55.912,0.045277777778
Long Yeast Grow,pioreactor02,2025-09-18T23:21:56.391Z,100.0,0.0,0.0,0.0,0.0,2025-09-19 01:21:56.391,0.045555555556
Long Yeast Grow,pioreactor02,2025-09-18T23:21:56.859Z,25.70614,0.0,0.0,0.0,0.0,2025-09-19 01:21:56.859,0.045555555556
Long Yeast Grow,pioreactor02,2025-09-18T23:22:00.411Z,24.46414,0.0,0.0,0.0,0.0,2025-09-19 01:22:00.411,0.046666666667
Long Yeast Grow,pioreactor02,2025-09-18T23:22:02.119Z,23.52764,0.0,0.0,0.0,0.0,2025-09-19 01:22:02.119,0.047222222222
Long Yeast Grow,pioreactor02,2025-09-18T23:22:02.639Z,0.0,0.0,0.0,0.0,0.0,2025-09-19 01:22:02.639,0.047222222222
Long Yeast Grow,pioreactor02,2025-09-19T01:35:55.496Z,0.0,0.0,0.0,0.0,0.0,2025-09-19 03:35:55.496,2.278611111111
Long Yeast Grow,pioreactor02,2025-09-19T01:35:55.711Z,100.0,0.0,0.0,0.0,0.0,2025-09-19 03:35:55.711,2.278611111111
Long Yeast Grow,pioreactor02,2025-09-19T01:35:56.180Z,25.70614,0.0,0.0,0.0,0.0,2025-09-19 03:35:56.180,2.278888888889
Long Yeast Grow,pioreactor02,2025-09-19T01:35:59.731Z,25.25364,0.0,0.0,0.0,0.0,2025-09-19 03:35:59.731,2.279722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:36:01.444Z,24.85214,0.0,0.0,0.0,0.0,2025-09-19 03:36:01.444,2.280277777778
Long Yeast Grow,pioreactor02,2025-09-19T01:36:03.147Z,24.47014,0.0,0.0,0.0,0.0,2025-09-19 03:36:03.147,2.280833333333
Long Yeast Grow,pioreactor02,2025-09-19T01:36:04.855Z,24.15714,0.0,0.0,0.0,0.0,2025-09-19 03:36:04.855,2.281111111111
Long Yeast Grow,pioreactor02,2025-09-19T01:36:06.563Z,23.90114,0.0,0.0,0.0,0.0,2025-09-19 03:36:06.563,2.281666666667
Long Yeast Grow,pioreactor02,2025-09-19T01:36:08.267Z,23.68164,0.0,0.0,0.0,0.0,2025-09-19 03:36:08.267,2.282222222222
Long Yeast Grow,pioreactor02,2025-09-19T01:36:09.975Z,23.53764,0.0,0.0,0.0,0.0,2025-09-19 03:36:09.975,2.2825
Long Yeast Grow,pioreactor02,2025-09-19T01:36:11.683Z,23.43264,0.0,0.0,0.0,0.0,2025-09-19 03:36:11.683,2.283055555556
Long Yeast Grow,pioreactor02,2025-09-19T01:36:13.391Z,23.36814,0.0,0.0,0.0,0.0,2025-09-19 03:36:13.391,2.283611111111
Long Yeast Grow,pioreactor02,2025-09-19T01:36:25.915Z,23.33764,0.0,0.0,0.0,0.0,2025-09-19 03:36:25.915,2.286944444444
Long Yeast Grow,pioreactor02,2025-09-19T01:36:26.968Z,23.33764,0.0,0.0,0.0,0.0,2025-09-19 03:36:26.968,2.287222222222
Long Yeast Grow,pioreactor02,2025-09-19T01:36:27.323Z,23.33764,0.0,0.0,0.0,25.0,2025-09-19 03:36:27.323,2.2875
Long Yeast Grow,pioreactor02,2025-09-19T01:36:48.915Z,23.27964,0.0,0.0,0.0,25.0,2025-09-19 03:36:48.915,2.293333333333
Long Yeast Grow,pioreactor02,2025-09-19T01:37:11.915Z,23.67464,0.0,0.0,0.0,25.0,2025-09-19 03:37:11.915,2.299722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:37:34.915Z,24.01964,0.0,0.0,0.0,25.0,2025-09-19 03:37:34.915,2.306111111111
Long Yeast Grow,pioreactor02,2025-09-19T01:37:57.915Z,23.86614,0.0,0.0,0.0,25.0,2025-09-19 03:37:57.915,2.3125
Long Yeast Grow,pioreactor02,2025-09-19T01:38:01.971Z,23.86614,0.0,0.0,0.0,0.0,2025-09-19 03:38:01.971,2.313611111111
