experiment,pioreactor_unit,timestamp,event_name,message,data,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-19T01:36:27.370Z,UpdatedHeaterDC,delta_dc=25,"{""current_dc"": 25.0, ""delta_dc"": 25, ""target_temperature"": 36.0, ""latest_temperature"": 19.875}",2025-09-19 03:36:27.370,2.2875
Long Yeast Grow,pioreactor02,2025-09-19T01:39:53.446Z,UpdatedHeaterDC,delta_dc=23.697000000000013,"{""current_dc"": 48.7, ""delta_dc"": 23.697000000000013, ""target_temperature"": 30.0, ""latest_temperature"": 20.24}",2025-09-19 03:39:53.446,2.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:43:13.452Z,UpdatedHeaterDC,delta_dc=13.27999999999998,"{""current_dc"": 61.98, ""delta_dc"": 13.27999999999998, ""target_temperature"": 30.0, ""latest_temperature"": 21.92}",2025-09-19 03:43:13.452,2.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T01:46:33.451Z,UpdatedHeaterDC,delta_dc=12.368000000000002,"{""current_dc"": 74.35, ""delta_dc"": 12.368000000000002, ""target_temperature"": 30.0, ""latest_temperature"": 23.12}",2025-09-19 03:46:33.451,2.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T01:49:53.451Z,UpdatedHeaterDC,delta_dc=6.296000000000003,"{""current_dc"": 80.65, ""delta_dc"": 6.296000000000003, ""target_temperature"": 30.0, ""latest_temperature"": 24.73}",2025-09-19 03:49:53.451,2.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:53:13.451Z,UpdatedHeaterDC,delta_dc=3.4060000000000015,"{""current_dc"": 84.06, ""delta_dc"": 3.4060000000000015, ""target_temperature"": 30.0, ""latest_temperature"": 26.16}",2025-09-19 03:53:13.451,2.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T01:56:33.449Z,UpdatedHeaterDC,delta_dc=0.2639999999999896,"{""current_dc"": 84.32, ""delta_dc"": 0.2639999999999896, ""target_temperature"": 30.0, ""latest_temperature"": 27.51}",2025-09-19 03:56:33.449,2.6225
Long Yeast Grow,pioreactor02,2025-09-19T01:59:53.450Z,UpdatedHeaterDC,delta_dc=-1.5899999999999852,"{""current_dc"": 82.73, ""delta_dc"": -1.5899999999999852, ""target_temperature"": 30.0, ""latest_temperature"": 28.63}",2025-09-19 03:59:53.450,2.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T02:03:13.449Z,UpdatedHeaterDC,delta_dc=-3.277999999999992,"{""current_dc"": 79.45, ""delta_dc"": -3.277999999999992, ""target_temperature"": 30.0, ""latest_temperature"": 29.58}",2025-09-19 04:03:13.449,2.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T02:06:33.450Z,UpdatedHeaterDC,delta_dc=-4.307999999999995,"{""current_dc"": 75.14, ""delta_dc"": -4.307999999999995, ""target_temperature"": 30.0, ""latest_temperature"": 30.33}",2025-09-19 04:06:33.450,2.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T02:09:53.450Z,UpdatedHeaterDC,delta_dc=-4.746000000000015,"{""current_dc"": 70.39, ""delta_dc"": -4.746000000000015, ""target_temperature"": 30.0, ""latest_temperature"": 30.87}",2025-09-19 04:09:53.450,2.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T02:13:13.451Z,UpdatedHeaterDC,delta_dc=-6.005999999999999,"{""current_dc"": 64.38, ""delta_dc"": -6.005999999999999, ""target_temperature"": 30.0, ""latest_temperature"": 31.39}",2025-09-19 04:13:13.451,2.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T02:16:33.449Z,UpdatedHeaterDC,delta_dc=-4.693999999999991,"{""current_dc"": 59.69, ""delta_dc"": -4.693999999999991, ""target_temperature"": 30.0, ""latest_temperature"": 31.54}",2025-09-19 04:16:33.449,2.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T02:19:53.449Z,UpdatedHeaterDC,delta_dc=-5.155999999999999,"{""current_dc"": 54.53, ""delta_dc"": -5.155999999999999, ""target_temperature"": 30.0, ""latest_temperature"": 31.7}",2025-09-19 04:19:53.449,3.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T02:23:13.450Z,UpdatedHeaterDC,delta_dc=-4.563999999999995,"{""current_dc"": 49.97, ""delta_dc"": -4.563999999999995, ""target_temperature"": 30.0, ""latest_temperature"": 31.72}",2025-09-19 04:23:13.450,3.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T02:26:33.450Z,UpdatedHeaterDC,delta_dc=-2.7440000000000087,"{""current_dc"": 47.23, ""delta_dc"": -2.7440000000000087, ""target_temperature"": 30.0, ""latest_temperature"": 31.48}",2025-09-19 04:26:33.450,3.1225
Long Yeast Grow,pioreactor02,2025-09-19T02:29:53.451Z,UpdatedHeaterDC,delta_dc=-1.9040000000000041,"{""current_dc"": 45.33, ""delta_dc"": -1.9040000000000041, ""target_temperature"": 30.0, ""latest_temperature"": 31.21}",2025-09-19 04:29:53.451,3.178055555556
Long Yeast Grow,pioreactor02,2025-09-19T02:33:13.451Z,UpdatedHeaterDC,delta_dc=-2.209999999999984,"{""current_dc"": 43.12, ""delta_dc"": -2.209999999999984, ""target_temperature"": 30.0, ""latest_temperature"": 31.08}",2025-09-19 04:33:13.451,3.233611111111
Long Yeast Grow,pioreactor02,2025-09-19T02:36:33.450Z,UpdatedHeaterDC,delta_dc=0.1439999999999797,"{""current_dc"": 43.26, ""delta_dc"": 0.1439999999999797, ""target_temperature"": 30.0, ""latest_temperature"": 30.67}",2025-09-19 04:36:33.450,3.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T02:39:53.452Z,UpdatedHeaterDC,delta_dc=-0.30199999999998406,"{""current_dc"": 42.96, ""delta_dc"": -0.30199999999998406, ""target_temperature"": 30.0, ""latest_temperature"": 30.47}",2025-09-19 04:39:53.452,3.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T02:43:13.492Z,UpdatedHeaterDC,delta_dc=-2.4460000000000095,"{""current_dc"": 40.51, ""delta_dc"": -2.4460000000000095, ""target_temperature"": 30.0, ""latest_temperature"": 30.64}",2025-09-19 04:43:13.492,3.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T02:46:33.452Z,UpdatedHeaterDC,delta_dc=-0.7280000000000086,"{""current_dc"": 39.78, ""delta_dc"": -0.7280000000000086, ""target_temperature"": 30.0, ""latest_temperature"": 30.51}",2025-09-19 04:46:33.452,3.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T02:49:53.451Z,UpdatedHeaterDC,delta_dc=-0.17400000000000315,"{""current_dc"": 39.61, ""delta_dc"": -0.17400000000000315, ""target_temperature"": 30.0, ""latest_temperature"": 30.35}",2025-09-19 04:49:53.451,3.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T02:53:13.449Z,UpdatedHeaterDC,delta_dc=0.5300000000000167,"{""current_dc"": 40.14, ""delta_dc"": 0.5300000000000167, ""target_temperature"": 30.0, ""latest_temperature"": 30.15}",2025-09-19 04:53:13.449,3.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T02:56:33.450Z,UpdatedHeaterDC,delta_dc=0.6899999999999934,"{""current_dc"": 40.83, ""delta_dc"": 0.6899999999999934, ""target_temperature"": 30.0, ""latest_temperature"": 30.0}",2025-09-19 04:56:33.450,3.6225
Long Yeast Grow,pioreactor02,2025-09-19T02:59:53.450Z,UpdatedHeaterDC,delta_dc=-0.07200000000001125,"{""current_dc"": 40.76, ""delta_dc"": -0.07200000000001125, ""target_temperature"": 30.0, ""latest_temperature"": 30.01}",2025-09-19 04:59:53.450,3.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T03:03:13.450Z,UpdatedHeaterDC,delta_dc=0.838000000000003,"{""current_dc"": 41.6, ""delta_dc"": 0.838000000000003, ""target_temperature"": 30.0, ""latest_temperature"": 29.89}",2025-09-19 05:03:13.450,3.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T03:06:33.493Z,UpdatedHeaterDC,delta_dc=0.7180000000000148,"{""current_dc"": 42.32, ""delta_dc"": 0.7180000000000148, ""target_temperature"": 30.0, ""latest_temperature"": 29.83}",2025-09-19 05:06:33.493,3.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T03:09:53.450Z,UpdatedHeaterDC,delta_dc=-0.2780000000000058,"{""current_dc"": 42.04, ""delta_dc"": -0.2780000000000058, ""target_temperature"": 30.0, ""latest_temperature"": 29.93}",2025-09-19 05:09:53.450,3.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T03:13:13.491Z,UpdatedHeaterDC,delta_dc=-0.03400000000000744,"{""current_dc"": 42.01, ""delta_dc"": -0.03400000000000744, ""target_temperature"": 30.0, ""latest_temperature"": 29.96}",2025-09-19 05:13:13.491,3.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T03:16:33.450Z,UpdatedHeaterDC,delta_dc=0.39199999999999163,"{""current_dc"": 42.4, ""delta_dc"": 0.39199999999999163, ""target_temperature"": 30.0, ""latest_temperature"": 29.92}",2025-09-19 05:16:33.450,3.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T03:19:53.454Z,UpdatedHeaterDC,delta_dc=1.0720000000000027,"{""current_dc"": 43.47, ""delta_dc"": 1.0720000000000027, ""target_temperature"": 30.0, ""latest_temperature"": 29.8}",2025-09-19 05:19:53.454,4.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T03:23:13.449Z,UpdatedHeaterDC,delta_dc=-1.1360000000000048,"{""current_dc"": 42.33, ""delta_dc"": -1.1360000000000048, ""target_temperature"": 30.0, ""latest_temperature"": 30.03}",2025-09-19 05:23:13.449,4.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T03:26:33.452Z,UpdatedHeaterDC,delta_dc=-0.07800000000000296,"{""current_dc"": 42.25, ""delta_dc"": -0.07800000000000296, ""target_temperature"": 30.0, ""latest_temperature"": 30.03}",2025-09-19 05:26:33.452,4.1225
Long Yeast Grow,pioreactor02,2025-09-19T03:29:53.466Z,UpdatedHeaterDC,delta_dc=1.794000000000008,"{""current_dc"": 44.04, ""delta_dc"": 1.794000000000008, ""target_temperature"": 30.0, ""latest_temperature"": 29.77}",2025-09-19 05:29:53.466,4.178055555556
Long Yeast Grow,pioreactor02,2025-09-19T03:33:13.450Z,UpdatedHeaterDC,delta_dc=-0.049999999999997824,"{""current_dc"": 43.99, ""delta_dc"": -0.049999999999997824, ""target_temperature"": 30.0, ""latest_temperature"": 29.86}",2025-09-19 05:33:13.450,4.233611111111
Long Yeast Grow,pioreactor02,2025-09-19T03:36:33.451Z,UpdatedHeaterDC,delta_dc=-0.2839999999999975,"{""current_dc"": 43.71, ""delta_dc"": -0.2839999999999975, ""target_temperature"": 30.0, ""latest_temperature"": 29.95}",2025-09-19 05:36:33.451,4.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T03:39:53.451Z,UpdatedHeaterDC,delta_dc=0.13000000000000186,"{""current_dc"": 43.84, ""delta_dc"": 0.13000000000000186, ""target_temperature"": 30.0, ""latest_temperature"": 29.95}",2025-09-19 05:39:53.451,4.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T03:43:13.451Z,UpdatedHeaterDC,delta_dc=-0.5179999999999971,"{""current_dc"": 43.32, ""delta_dc"": -0.5179999999999971, ""target_temperature"": 30.0, ""latest_temperature"": 30.04}",2025-09-19 05:43:13.451,4.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T03:46:33.450Z,UpdatedHeaterDC,delta_dc=0.25600000000000733,"{""current_dc"": 43.58, ""delta_dc"": 0.25600000000000733, ""target_temperature"": 30.0, ""latest_temperature"": 29.99}",2025-09-19 05:46:33.450,4.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T03:49:53.451Z,UpdatedHeaterDC,delta_dc=0.8899999999999856,"{""current_dc"": 44.47, ""delta_dc"": 0.8899999999999856, ""target_temperature"": 30.0, ""latest_temperature"": 29.87}",2025-09-19 05:49:53.451,4.511388888889
