experiment,pioreactor_unit,timestamp,temperature_c,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-19T01:36:27.278Z,19.875,2025-09-19 03:36:27.278,2.2875
Long Yeast Grow,pioreactor02,2025-09-19T01:39:53.405Z,20.24,2025-09-19 03:39:53.405,2.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:43:13.407Z,21.92,2025-09-19 03:43:13.407,2.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T01:46:33.409Z,23.12,2025-09-19 03:46:33.409,2.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T01:49:53.406Z,24.73,2025-09-19 03:49:53.406,2.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:53:13.407Z,26.16,2025-09-19 03:53:13.407,2.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T01:56:33.407Z,27.51,2025-09-19 03:56:33.407,2.6225
Long Yeast Grow,pioreactor02,2025-09-19T01:59:53.408Z,28.63,2025-09-19 03:59:53.408,2.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T02:03:13.407Z,29.58,2025-09-19 04:03:13.407,2.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T02:06:33.407Z,30.33,2025-09-19 04:06:33.407,2.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T02:09:53.408Z,30.87,2025-09-19 04:09:53.408,2.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T02:13:13.409Z,31.39,2025-09-19 04:13:13.409,2.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T02:16:33.408Z,31.54,2025-09-19 04:16:33.408,2.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T02:19:53.406Z,31.7,2025-09-19 04:19:53.406,3.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T02:23:13.407Z,31.72,2025-09-19 04:23:13.407,3.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T02:26:33.406Z,31.48,2025-09-19 04:26:33.406,3.1225
Long Yeast Grow,pioreactor02,2025-09-19T02:29:53.409Z,31.21,2025-09-19 04:29:53.409,3.178055555556
Long Yeast Grow,pioreactor02,2025-09-19T02:33:13.409Z,31.08,2025-09-19 04:33:13.409,3.233611111111
Long Yeast Grow,pioreactor02,2025-09-19T02:36:33.407Z,30.67,2025-09-19 04:36:33.407,3.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T02:39:53.407Z,30.47,2025-09-19 04:39:53.407,3.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T02:43:13.407Z,30.64,2025-09-19 04:43:13.407,3.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T02:46:33.409Z,30.51,2025-09-19 04:46:33.409,3.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T02:49:53.409Z,30.35,2025-09-19 04:49:53.409,3.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T02:53:13.407Z,30.15,2025-09-19 04:53:13.407,3.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T02:56:33.408Z,30.0,2025-09-19 04:56:33.408,3.6225
Long Yeast Grow,pioreactor02,2025-09-19T02:59:53.410Z,30.01,2025-09-19 04:59:53.410,3.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T03:03:13.409Z,29.89,2025-09-19 05:03:13.409,3.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T03:06:33.405Z,29.83,2025-09-19 05:06:33.405,3.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T03:09:53.408Z,29.93,2025-09-19 05:09:53.408,3.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T03:13:13.406Z,29.96,2025-09-19 05:13:13.406,3.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T03:16:33.407Z,29.92,2025-09-19 05:16:33.407,3.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T03:19:53.408Z,29.8,2025-09-19 05:19:53.408,4.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T03:23:13.407Z,30.03,2025-09-19 05:23:13.407,4.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T03:26:33.406Z,30.03,2025-09-19 05:26:33.406,4.1225
Long Yeast Grow,pioreactor02,2025-09-19T03:29:53.425Z,29.77,2025-09-19 05:29:53.425,4.178055555556
Long Yeast Grow,pioreactor02,2025-09-19T03:33:13.406Z,29.86,2025-09-19 05:33:13.406,4.233611111111
Long Yeast Grow,pioreactor02,2025-09-19T03:36:33.407Z,29.95,2025-09-19 05:36:33.407,4.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T03:39:53.407Z,29.95,2025-09-19 05:39:53.407,4.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T03:43:13.407Z,30.04,2025-09-19 05:43:13.407,4.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T03:46:33.406Z,29.99,2025-09-19 05:46:33.406,4.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T03:49:53.406Z,29.87,2025-09-19 05:49:53.406,4.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T03:53:13.409Z,30.0,2025-09-19 05:53:13.409,4.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T03:56:33.408Z,29.89,2025-09-19 05:56:33.408,4.6225
Long Yeast Grow,pioreactor02,2025-09-19T03:59:53.407Z,30.05,2025-09-19 05:59:53.407,4.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T04:03:13.407Z,29.97,2025-09-19 06:03:13.407,4.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T04:06:33.408Z,30.09,2025-09-19 06:06:33.408,4.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T04:09:53.406Z,29.96,2025-09-19 06:09:53.406,4.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T04:13:13.407Z,29.96,2025-09-19 06:13:13.407,4.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T04:16:33.408Z,30.01,2025-09-19 06:16:33.408,4.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T04:19:53.409Z,29.95,2025-09-19 06:19:53.409,5.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T04:23:13.407Z,30.23,2025-09-19 06:23:13.407,5.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T04:26:33.407Z,30.05,2025-09-19 06:26:33.407,5.1225
Long Yeast Grow,pioreactor02,2025-09-19T04:29:53.407Z,29.98,2025-09-19 06:29:53.407,5.178055555556
Long Yeast Grow,pioreactor02,2025-09-19T04:33:13.407Z,29.84,2025-09-19 06:33:13.407,5.233611111111
Long Yeast Grow,pioreactor02,2025-09-19T04:36:33.408Z,29.98,2025-09-19 06:36:33.408,5.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T04:39:53.407Z,29.89,2025-09-19 06:39:53.407,5.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T04:43:13.406Z,30.03,2025-09-19 06:43:13.406,5.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T04:46:33.407Z,29.95,2025-09-19 06:46:33.407,5.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T04:49:53.407Z,29.85,2025-09-19 06:49:53.407,5.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T04:53:13.407Z,29.88,2025-09-19 06:53:13.407,5.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T04:56:33.408Z,30.02,2025-09-19 06:56:33.408,5.6225
