experiment,pioreactor_unit,timestamp,message,source,level,task,timestamp_localtime,hours_since_experiment_created
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:12:56.178Z,Init.,app,DEBUG,stirring,2025-09-20 07:12:56.178,0.176388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:12:56.201Z,Operating with RPM feedback loop.,app,DEBUG,stirring,2025-09-20 07:12:56.201,0.176388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:12:56.204Z,"Initialized GPIO-17 using software-timing, initial frequency = 200.0 hz.",app,DEBUG,stirring,2025-09-20 07:12:56.204,0.176388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:12:56.256Z,Found stirring calibration: stirring-calibration-2025-09-18_19-24-38.,app,DEBUG,stirring,2025-09-20 07:12:56.256,0.176388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:12:56.660Z,Starting initialize_continuous_operation,app,DEBUG,stirring,2025-09-20 07:12:56.660,0.176388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:12:57.170Z,Finished initialize_continuous_operation,app,DEBUG,stirring,2025-09-20 07:12:57.170,0.176666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:12:57.174Z,Ready.,app,INFO,stirring,2025-09-20 07:12:57.174,0.176666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:12:57.175Z,stirring is blocking until RPM is near 500.0.,app,DEBUG,stirring,2025-09-20 07:12:57.175,0.176666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:13:00.683Z,stirring is blocking until disconnected.,app,DEBUG,stirring,2025-09-20 07:13:00.683,0.1775
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:13:20.305Z,Updated target_rpm from 500.0 RPM to 1000.0 RPM.,app,INFO,stirring,2025-09-20 07:13:20.305,0.183055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:13:41.960Z,Updated target_rpm from 1000.0 RPM to 500.0 RPM.,app,INFO,stirring,2025-09-20 07:13:41.960,0.188888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:10.138Z,Init.,app,DEBUG,temperature_automation,2025-09-20 07:14:10.138,0.196944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:10.140Z,Starting thermostat.,app,INFO,temperature_automation,2025-09-20 07:14:10.140,0.196944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:10.172Z,"Initialized GPIO-18 using software-timing, initial frequency = 16 hz.",app,DEBUG,temperature_automation,2025-09-20 07:14:10.172,0.196944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:10.494Z,PID output = 25,app,DEBUG,temperature_automation,2025-09-20 07:14:10.494,0.196944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:10.500Z,Ready.,app,INFO,temperature_automation,2025-09-20 07:14:10.500,0.196944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:10.501Z,temperature_automation is blocking until disconnected.,app,DEBUG,temperature_automation,2025-09-20 07:14:10.501,0.196944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:19.744Z,"No calibration available for OD, skipping.",app,DEBUG,calibration_transformer,2025-09-20 07:14:19.744,0.199444444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:19.786Z,Init.,app,DEBUG,od_reading,2025-09-20 07:14:19.786,0.199444444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:20.230Z,"ADC offsets: {'2': 2485.8750015272726, '1': 2487.2750011200005}, and in voltage: {'2': 0.0626021635, '1': 0.0626374199}",app,DEBUG,od_reading,2025-09-20 07:14:20.230,0.199722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:20.646Z,AC hz estimate: 50.0,app,DEBUG,od_reading,2025-09-20 07:14:20.646,0.199722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:20.647Z,Using ADC class Pico_ADC for pd2 with initial gain 1.0.,app,DEBUG,od_reading,2025-09-20 07:14:20.647,0.199722222222
