experiment,pioreactor_unit,timestamp,od_reading,angle,channel,timestamp_localtime,hours_since_experiment_created
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:21.240Z,0.043556362691,90,2,2025-09-20 07:14:21.240,0.2
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:26.231Z,0.044028573436,90,2,2025-09-20 07:14:26.231,0.201388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:31.232Z,0.043908121437,90,2,2025-09-20 07:14:31.232,0.202777777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:36.231Z,0.043842040797,90,2,2025-09-20 07:14:36.231,0.204166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:41.231Z,0.042758504562,90,2,2025-09-20 07:14:41.231,0.205555555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:46.231Z,0.043003255411,90,2,2025-09-20 07:14:46.231,0.206944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:51.231Z,0.043078809039,90,2,2025-09-20 07:14:51.231,0.208333333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:56.231Z,0.04283807305,90,2,2025-09-20 07:14:56.231,0.209722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:15:01.230Z,0.044700655228,90,2,2025-09-20 07:15:01.230,0.211111111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:15:06.230Z,0.043480087212,90,2,2025-09-20 07:15:06.230,0.2125
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:15:11.230Z,0.043923732175,90,2,2025-09-20 07:15:11.230,0.213888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:15:16.230Z,0.043442847065,90,2,2025-09-20 07:15:16.230,0.215277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:15:21.231Z,0.04382476478,90,2,2025-09-20 07:15:21.231,0.216666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:15:26.231Z,0.043580574465,90,2,2025-09-20 07:15:26.231,0.218055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:15:31.231Z,0.043629010459,90,2,2025-09-20 07:15:31.231,0.219444444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:15:36.231Z,0.043471758196,90,2,2025-09-20 07:15:36.231,0.220833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:15:41.233Z,0.044406282431,90,2,2025-09-20 07:15:41.233,0.222222222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:15:46.230Z,0.043641317293,90,2,2025-09-20 07:15:46.230,0.223611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:15:51.230Z,0.043823147707,90,2,2025-09-20 07:15:51.230,0.225
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:15:56.230Z,0.04371125075,90,2,2025-09-20 07:15:56.230,0.226388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:16:01.231Z,0.044321256975,90,2,2025-09-20 07:16:01.231,0.227777777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:16:06.231Z,0.043545278026,90,2,2025-09-20 07:16:06.231,0.229166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:16:11.230Z,0.044052201564,90,2,2025-09-20 07:16:11.230,0.230555555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:16:16.230Z,0.043391921095,90,2,2025-09-20 07:16:16.230,0.231944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:16:21.230Z,0.04292842063,90,2,2025-09-20 07:16:21.230,0.233333333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:16:26.230Z,0.043525151943,90,2,2025-09-20 07:16:26.230,0.234722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:16:31.231Z,0.04317202275,90,2,2025-09-20 07:16:31.231,0.236111111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:16:36.231Z,0.043600930661,90,2,2025-09-20 07:16:36.231,0.2375
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:16:41.231Z,0.043048206194,90,2,2025-09-20 07:16:41.231,0.238888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:16:46.231Z,0.043240238629,90,2,2025-09-20 07:16:46.231,0.240277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:16:51.231Z,0.043122213764,90,2,2025-09-20 07:16:51.231,0.241666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:16:56.231Z,0.043613752715,90,2,2025-09-20 07:16:56.231,0.243055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:01.232Z,0.043440669613,90,2,2025-09-20 07:17:01.232,0.244444444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:06.231Z,0.043795060145,90,2,2025-09-20 07:17:06.231,0.245833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:11.231Z,0.043089964964,90,2,2025-09-20 07:17:11.231,0.247222222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:16.231Z,0.043849367865,90,2,2025-09-20 07:17:16.231,0.248611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:21.231Z,0.043272869407,90,2,2025-09-20 07:17:21.231,0.25
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:26.231Z,0.044016089533,90,2,2025-09-20 07:17:26.231,0.251388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:31.230Z,0.045013636008,90,2,2025-09-20 07:17:31.230,0.252777777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:36.230Z,0.044256479434,90,2,2025-09-20 07:17:36.230,0.254166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:41.231Z,0.044130125026,90,2,2025-09-20 07:17:41.231,0.255555555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:46.231Z,0.044283721016,90,2,2025-09-20 07:17:46.231,0.256944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:51.231Z,0.044261316434,90,2,2025-09-20 07:17:51.231,0.258333333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:56.231Z,0.044251709469,90,2,2025-09-20 07:17:56.231,0.259722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:01.231Z,0.043857086862,90,2,2025-09-20 07:18:01.231,0.261111111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:06.230Z,0.043499787923,90,2,2025-09-20 07:18:06.230,0.2625
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:11.230Z,0.043762618628,90,2,2025-09-20 07:18:11.230,0.263888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:16.230Z,0.043844590013,90,2,2025-09-20 07:18:16.230,0.265277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:21.230Z,0.043536898874,90,2,2025-09-20 07:18:21.230,0.266666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:26.231Z,0.04354452697,90,2,2025-09-20 07:18:26.231,0.268055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:31.230Z,0.043993427018,90,2,2025-09-20 07:18:31.230,0.269444444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:36.230Z,0.044219490613,90,2,2025-09-20 07:18:36.230,0.270833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:41.230Z,0.044026584852,90,2,2025-09-20 07:18:41.230,0.272222222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:46.230Z,0.043512069633,90,2,2025-09-20 07:18:46.230,0.273611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:51.230Z,0.043670785477,90,2,2025-09-20 07:18:51.230,0.275
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:56.230Z,0.043748696536,90,2,2025-09-20 07:18:56.230,0.276388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:01.231Z,0.044271830738,90,2,2025-09-20 07:19:01.231,0.277777777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:06.230Z,0.043614957121,90,2,2025-09-20 07:19:06.230,0.279166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:11.231Z,0.044118370793,90,2,2025-09-20 07:19:11.231,0.280555555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:16.230Z,0.043558640945,90,2,2025-09-20 07:19:16.230,0.281944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:21.230Z,0.043815540333,90,2,2025-09-20 07:19:21.230,0.283333333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:26.230Z,0.042891297721,90,2,2025-09-20 07:19:26.230,0.284722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:31.231Z,0.043709698284,90,2,2025-09-20 07:19:31.231,0.286111111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:36.230Z,0.04337149492,90,2,2025-09-20 07:19:36.230,0.2875
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:41.230Z,0.043174986127,90,2,2025-09-20 07:19:41.230,0.288888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:46.230Z,0.042791291891,90,2,2025-09-20 07:19:46.230,0.290277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:51.230Z,0.043740492515,90,2,2025-09-20 07:19:51.230,0.291666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:56.231Z,0.043314088788,90,2,2025-09-20 07:19:56.231,0.293055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:01.231Z,0.04442249448,90,2,2025-09-20 07:20:01.231,0.294444444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:06.231Z,0.044110160032,90,2,2025-09-20 07:20:06.231,0.295833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:11.230Z,0.044300391613,90,2,2025-09-20 07:20:11.230,0.297222222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:16.231Z,0.044382675355,90,2,2025-09-20 07:20:16.231,0.298611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:21.231Z,0.045050351419,90,2,2025-09-20 07:20:21.231,0.3
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:26.230Z,0.044356423214,90,2,2025-09-20 07:20:26.230,0.301388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:31.230Z,0.044531036761,90,2,2025-09-20 07:20:31.230,0.302777777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:36.231Z,0.043917654743,90,2,2025-09-20 07:20:36.231,0.304166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:41.230Z,0.044393261162,90,2,2025-09-20 07:20:41.230,0.305555555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:46.231Z,0.044153997044,90,2,2025-09-20 07:20:46.231,0.306944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:51.231Z,0.044468914674,90,2,2025-09-20 07:20:51.231,0.308333333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:56.231Z,0.044096953451,90,2,2025-09-20 07:20:56.231,0.309722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:01.231Z,0.044083682236,90,2,2025-09-20 07:21:01.231,0.311111111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:06.231Z,0.045093679559,90,2,2025-09-20 07:21:06.231,0.3125
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:11.231Z,0.044642053016,90,2,2025-09-20 07:21:11.231,0.313888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:16.230Z,0.04517456698,90,2,2025-09-20 07:21:16.230,0.315277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:21.231Z,0.045153563518,90,2,2025-09-20 07:21:21.231,0.316666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:26.230Z,0.045082696971,90,2,2025-09-20 07:21:26.230,0.318055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:31.232Z,0.04479117761,90,2,2025-09-20 07:21:31.232,0.319444444444
