experiment,pioreactor_unit,timestamp,event_name,message,data,timestamp_localtime,hours_since_experiment_created
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:10.579Z,UpdatedHeaterDC,delta_dc=25,"{""current_dc"": 25.0, ""delta_dc"": 25, ""target_temperature"": 32.0, ""latest_temperature"": 18.0625}",2025-09-20 07:14:10.579,0.196944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:36.654Z,UpdatedHeaterDC,delta_dc=25,"{""current_dc"": 50.0, ""delta_dc"": 25, ""target_temperature"": 32.0, ""latest_temperature"": 16.49}",2025-09-20 07:17:36.654,0.254166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:56.655Z,UpdatedHeaterDC,delta_dc=25,"{""current_dc"": 75.0, ""delta_dc"": 25, ""target_temperature"": 32.0, ""latest_temperature"": 16.58}",2025-09-20 07:20:56.655,0.309722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:24:16.696Z,UpdatedHeaterDC,delta_dc=25,"{""current_dc"": 100.0, ""delta_dc"": 25, ""target_temperature"": 32.0, ""latest_temperature"": 17.21}",2025-09-20 07:24:16.696,0.365277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:27:36.655Z,UpdatedHeaterDC,delta_dc=25,"{""current_dc"": 100.0, ""delta_dc"": 25, ""target_temperature"": 32.0, ""latest_temperature"": 18.18}",2025-09-20 07:27:36.655,0.420833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:30:56.655Z,UpdatedHeaterDC,delta_dc=20.81199999999999,"{""current_dc"": 100.0, ""delta_dc"": 20.81199999999999, ""target_temperature"": 32.0, ""latest_temperature"": 20.28}",2025-09-20 07:30:56.655,0.476388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:34:16.654Z,UpdatedHeaterDC,delta_dc=17.29600000000001,"{""current_dc"": 100.0, ""delta_dc"": 17.29600000000001, ""target_temperature"": 32.0, ""latest_temperature"": 22.11}",2025-09-20 07:34:16.654,0.531944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:37:36.655Z,UpdatedHeaterDC,delta_dc=15.849999999999998,"{""current_dc"": 100.0, ""delta_dc"": 15.849999999999998, ""target_temperature"": 32.0, ""latest_temperature"": 23.48}",2025-09-20 07:37:36.655,0.5875
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:40:56.655Z,UpdatedHeaterDC,delta_dc=12.360000000000003,"{""current_dc"": 100.0, ""delta_dc"": 12.360000000000003, ""target_temperature"": 32.0, ""latest_temperature"": 24.84}",2025-09-20 07:40:56.655,0.643055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:44:16.650Z,UpdatedHeaterDC,delta_dc=11.847999999999992,"{""current_dc"": 100.0, ""delta_dc"": 11.847999999999992, ""target_temperature"": 32.0, ""latest_temperature"": 25.78}",2025-09-20 07:44:16.650,0.698611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:47:36.654Z,UpdatedHeaterDC,delta_dc=8.61200000000002,"{""current_dc"": 100.0, ""delta_dc"": 8.61200000000002, ""target_temperature"": 32.0, ""latest_temperature"": 26.83}",2025-09-20 07:47:36.654,0.754166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:50:56.655Z,UpdatedHeaterDC,delta_dc=8.473999999999997,"{""current_dc"": 100.0, ""delta_dc"": 8.473999999999997, ""target_temperature"": 32.0, ""latest_temperature"": 27.52}",2025-09-20 07:50:56.655,0.809722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:54:16.655Z,UpdatedHeaterDC,delta_dc=6.1759999999999895,"{""current_dc"": 100.0, ""delta_dc"": 6.1759999999999895, ""target_temperature"": 32.0, ""latest_temperature"": 28.28}",2025-09-20 07:54:16.655,0.865277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:57:36.659Z,UpdatedHeaterDC,delta_dc=6.576,"{""current_dc"": 100.0, ""delta_dc"": 6.576, ""target_temperature"": 32.0, ""latest_temperature"": 28.71}",2025-09-20 07:57:36.659,0.920833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:00:56.655Z,UpdatedHeaterDC,delta_dc=3.0820000000000123,"{""current_dc"": 100.0, ""delta_dc"": 3.0820000000000123, ""target_temperature"": 32.0, ""latest_temperature"": 29.47}",2025-09-20 08:00:56.655,0.976388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:04:16.654Z,UpdatedHeaterDC,delta_dc=3.265999999999997,"{""current_dc"": 100.0, ""delta_dc"": 3.265999999999997, ""target_temperature"": 32.0, ""latest_temperature"": 29.93}",2025-09-20 08:04:16.654,1.031944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:07:36.654Z,UpdatedHeaterDC,delta_dc=2.5020000000000113,"{""current_dc"": 100.0, ""delta_dc"": 2.5020000000000113, ""target_temperature"": 32.0, ""latest_temperature"": 30.33}",2025-09-20 08:07:36.654,1.0875
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:10:56.655Z,UpdatedHeaterDC,delta_dc=0.5259999999999967,"{""current_dc"": 100.0, ""delta_dc"": 0.5259999999999967, ""target_temperature"": 32.0, ""latest_temperature"": 30.86}",2025-09-20 08:10:56.655,1.143055555556
