experiment,pioreactor_unit,timestamp,channel_1,channel_2,channel_3,channel_4,channel_5,timestamp_localtime,hours_since_experiment_created
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:12:56.224Z,0.0,0.0,0.0,0.0,0.0,2025-09-20 07:12:56.224,0.176388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:12:56.704Z,100.0,0.0,0.0,0.0,0.0,2025-09-20 07:12:56.704,0.176388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:12:57.170Z,25.70614,0.0,0.0,0.0,0.0,2025-09-20 07:12:57.170,0.176666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:13:00.724Z,25.65914,0.0,0.0,0.0,0.0,2025-09-20 07:13:00.724,0.1775
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:13:03.908Z,25.76714,0.0,0.0,0.0,0.0,2025-09-20 07:13:03.908,0.178333333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:13:20.306Z,44.69131,0.0,0.0,0.0,0.0,2025-09-20 07:13:20.306,0.183055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:13:26.708Z,44.92431,0.0,0.0,0.0,0.0,2025-09-20 07:13:26.708,0.184722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:13:41.960Z,27.85258,0.0,0.0,0.0,0.0,2025-09-20 07:13:41.960,0.188888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:13:49.908Z,27.47058,0.0,0.0,0.0,0.0,2025-09-20 07:13:49.908,0.191111111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:10.185Z,27.47058,0.0,0.0,0.0,0.0,2025-09-20 07:14:10.185,0.196944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:10.532Z,27.47058,0.0,0.0,0.0,25.0,2025-09-20 07:14:10.532,0.196944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:12.908Z,27.11658,0.0,0.0,0.0,25.0,2025-09-20 07:14:12.908,0.1975
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:35.908Z,26.84058,0.0,0.0,0.0,25.0,2025-09-20 07:14:35.908,0.203888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:58.908Z,26.62908,0.0,0.0,0.0,25.0,2025-09-20 07:14:58.908,0.210277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:15:21.908Z,26.44708,0.0,0.0,0.0,25.0,2025-09-20 07:15:21.908,0.216666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:15:44.912Z,26.32508,0.0,0.0,0.0,25.0,2025-09-20 07:15:44.912,0.223055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:15:45.183Z,26.32508,0.0,0.0,0.0,0.0,2025-09-20 07:15:45.183,0.223333333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:16:07.908Z,26.19058,0.0,0.0,0.0,0.0,2025-09-20 07:16:07.908,0.229444444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:16:30.908Z,26.05108,0.0,0.0,0.0,0.0,2025-09-20 07:16:30.908,0.235833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:16:53.908Z,25.97608,0.0,0.0,0.0,0.0,2025-09-20 07:16:53.908,0.242222222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:16.908Z,25.88958,0.0,0.0,0.0,0.0,2025-09-20 07:17:16.908,0.248611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:36.609Z,25.88958,0.0,0.0,0.0,25.0,2025-09-20 07:17:36.609,0.254166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:36.652Z,25.88958,0.0,0.0,0.0,50.0,2025-09-20 07:17:36.652,0.254166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:39.908Z,25.88858,0.0,0.0,0.0,50.0,2025-09-20 07:17:39.908,0.255
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:02.908Z,25.87358,0.0,0.0,0.0,50.0,2025-09-20 07:18:02.908,0.261388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:25.908Z,25.84508,0.0,0.0,0.0,50.0,2025-09-20 07:18:25.908,0.267777777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:48.908Z,25.80458,0.0,0.0,0.0,50.0,2025-09-20 07:18:48.908,0.274166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:05.183Z,25.80458,0.0,0.0,0.0,0.0,2025-09-20 07:19:05.183,0.278888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:11.908Z,25.78658,0.0,0.0,0.0,0.0,2025-09-20 07:19:11.908,0.280555555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:34.908Z,25.72508,0.0,0.0,0.0,0.0,2025-09-20 07:19:34.908,0.286944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:57.908Z,25.66858,0.0,0.0,0.0,0.0,2025-09-20 07:19:57.908,0.293333333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:20.908Z,25.62858,0.0,0.0,0.0,0.0,2025-09-20 07:20:20.908,0.299722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:43.908Z,25.58708,0.0,0.0,0.0,0.0,2025-09-20 07:20:43.908,0.306111111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:56.609Z,25.58708,0.0,0.0,0.0,50.0,2025-09-20 07:20:56.609,0.309722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:56.653Z,25.58708,0.0,0.0,0.0,75.0,2025-09-20 07:20:56.653,0.309722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:06.908Z,25.58208,0.0,0.0,0.0,75.0,2025-09-20 07:21:06.908,0.3125
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:29.908Z,25.57608,0.0,0.0,0.0,75.0,2025-09-20 07:21:29.908,0.318888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:52.908Z,25.59058,0.0,0.0,0.0,75.0,2025-09-20 07:21:52.908,0.325277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:22:15.908Z,25.60258,0.0,0.0,0.0,75.0,2025-09-20 07:22:15.908,0.331666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:22:25.183Z,25.60258,0.0,0.0,0.0,0.0,2025-09-20 07:22:25.183,0.334444444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:22:38.908Z,25.54758,0.0,0.0,0.0,0.0,2025-09-20 07:22:38.908,0.338055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:23:01.908Z,25.46058,0.0,0.0,0.0,0.0,2025-09-20 07:23:01.908,0.344444444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:23:24.908Z,25.36008,0.0,0.0,0.0,0.0,2025-09-20 07:23:24.908,0.350833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:23:47.908Z,25.29308,0.0,0.0,0.0,0.0,2025-09-20 07:23:47.908,0.357222222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:24:10.908Z,25.22458,0.0,0.0,0.0,0.0,2025-09-20 07:24:10.908,0.363611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:24:16.610Z,25.22458,0.0,0.0,0.0,75.0,2025-09-20 07:24:16.610,0.365277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:24:16.653Z,25.22458,0.0,0.0,0.0,100.0,2025-09-20 07:24:16.653,0.365277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:24:33.908Z,25.58058,0.0,0.0,0.0,100.0,2025-09-20 07:24:33.908,0.37
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:24:56.908Z,25.93158,0.0,0.0,0.0,100.0,2025-09-20 07:24:56.908,0.376388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:25:19.908Z,26.01308,0.0,0.0,0.0,100.0,2025-09-20 07:25:19.908,0.382777777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:25:42.908Z,26.02958,0.0,0.0,0.0,100.0,2025-09-20 07:25:42.908,0.389166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:25:45.183Z,26.02958,0.0,0.0,0.0,0.0,2025-09-20 07:25:45.183,0.39
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:26:05.908Z,25.92958,0.0,0.0,0.0,0.0,2025-09-20 07:26:05.908,0.395555555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:26:28.908Z,25.79958,0.0,0.0,0.0,0.0,2025-09-20 07:26:28.908,0.401944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:26:51.908Z,25.71308,0.0,0.0,0.0,0.0,2025-09-20 07:26:51.908,0.408333333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:27:14.908Z,25.60758,0.0,0.0,0.0,0.0,2025-09-20 07:27:14.908,0.414722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:27:36.609Z,25.60758,0.0,0.0,0.0,100.0,2025-09-20 07:27:36.609,0.420833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:27:36.652Z,25.60758,0.0,0.0,0.0,100.0,2025-09-20 07:27:36.652,0.420833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:27:37.908Z,25.50258,0.0,0.0,0.0,100.0,2025-09-20 07:27:37.908,0.421111111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:28:00.908Z,25.45308,0.0,0.0,0.0,100.0,2025-09-20 07:28:00.908,0.4275
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:28:23.908Z,25.34558,0.0,0.0,0.0,100.0,2025-09-20 07:28:23.908,0.433888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:28:46.908Z,25.23908,0.0,0.0,0.0,100.0,2025-09-20 07:28:46.908,0.440277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:29:05.183Z,25.23908,0.0,0.0,0.0,0.0,2025-09-20 07:29:05.183,0.445555555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:29:09.908Z,25.15608,0.0,0.0,0.0,0.0,2025-09-20 07:29:09.908,0.446666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:29:32.908Z,25.09908,0.0,0.0,0.0,0.0,2025-09-20 07:29:32.908,0.453055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:29:55.908Z,25.09958,0.0,0.0,0.0,0.0,2025-09-20 07:29:55.908,0.459444444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:30:18.908Z,25.07358,0.0,0.0,0.0,0.0,2025-09-20 07:30:18.908,0.465833333333
