experiment,pioreactor_unit,timestamp,measured_rpm,timestamp_localtime,hours_since_experiment_created
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:13:00.676Z,509.4,2025-09-20 07:13:00.676,0.1775
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:13:03.862Z,478.4,2025-09-20 07:13:03.862,0.178333333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:13:26.662Z,953.4,2025-09-20 07:13:26.662,0.184722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:13:49.862Z,576.4,2025-09-20 07:13:49.862,0.191111111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:12.862Z,570.8,2025-09-20 07:14:12.862,0.1975
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:35.862Z,555.2,2025-09-20 07:14:35.862,0.203888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:58.862Z,542.3,2025-09-20 07:14:58.862,0.210277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:15:21.862Z,536.4,2025-09-20 07:15:21.862,0.216666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:15:44.862Z,524.4,2025-09-20 07:15:44.862,0.223055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:16:07.862Z,526.9,2025-09-20 07:16:07.862,0.229444444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:16:30.862Z,527.9,2025-09-20 07:16:30.862,0.235833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:16:53.862Z,515.0,2025-09-20 07:16:53.862,0.242222222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:16.862Z,517.3,2025-09-20 07:17:16.862,0.248611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:39.862Z,500.2,2025-09-20 07:17:39.862,0.255
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:02.862Z,503.0,2025-09-20 07:18:02.862,0.261388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:25.862Z,505.7,2025-09-20 07:18:25.862,0.267777777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:48.862Z,508.1,2025-09-20 07:18:48.862,0.274166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:11.862Z,503.6,2025-09-20 07:19:11.862,0.280555555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:34.862Z,512.3,2025-09-20 07:19:34.862,0.286944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:57.862Z,511.3,2025-09-20 07:19:57.862,0.293333333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:20.862Z,508.0,2025-09-20 07:20:20.862,0.299722222222
