experiment,pioreactor_unit,timestamp,temperature_c,timestamp_localtime,hours_since_experiment_created
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:14:10.486Z,18.0625,2025-09-20 07:14:10.486,0.196944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:17:36.612Z,16.49,2025-09-20 07:17:36.612,0.254166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:56.611Z,16.58,2025-09-20 07:20:56.611,0.309722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:24:16.615Z,17.21,2025-09-20 07:24:16.615,0.365277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:27:36.611Z,18.18,2025-09-20 07:27:36.611,0.420833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:30:56.612Z,20.28,2025-09-20 07:30:56.612,0.476388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:34:16.612Z,22.11,2025-09-20 07:34:16.612,0.531944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:37:36.611Z,23.48,2025-09-20 07:37:36.611,0.5875
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:40:56.611Z,24.84,2025-09-20 07:40:56.611,0.643055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:44:16.610Z,25.78,2025-09-20 07:44:16.610,0.698611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:47:36.610Z,26.83,2025-09-20 07:47:36.610,0.754166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:50:56.611Z,27.52,2025-09-20 07:50:56.611,0.809722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:54:16.612Z,28.28,2025-09-20 07:54:16.612,0.865277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:57:36.614Z,28.71,2025-09-20 07:57:36.614,0.920833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:00:56.611Z,29.47,2025-09-20 08:00:56.611,0.976388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:04:16.611Z,29.93,2025-09-20 08:04:16.611,1.031944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:07:36.614Z,30.33,2025-09-20 08:07:36.614,1.0875
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:10:56.611Z,30.86,2025-09-20 08:10:56.611,1.143055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:14:16.610Z,31.32,2025-09-20 08:14:16.610,1.198611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:17:36.613Z,31.68,2025-09-20 08:17:36.613,1.254166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:20:56.611Z,31.92,2025-09-20 08:20:56.611,1.309722222222
